Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion
0,0.03440793,0.03440793,0,0,0.00%
0.35321226,0.03411289,0.03431103,0.0811322,0.08113469,0.00%
0.70642452,0.033273,0.03402559,0.16225577,0.16227554,-0.01%
1.05963679,0.03196579,0.03356705,0.2433626,0.24342873,-0.03%
1.41284905,0.03031412,0.0329604,0.32444554,0.32460043,-0.05%
1.76606131,0.02847789,0.0322389,0.40549889,0.40579682,-0.07%
2.11927357,0.02664317,0.03144257,0.48651864,0.48702408,-0.10%
2.47248583,0.02500952,0.03061628,0.56750267,0.56828841,-0.14%
2.82569809,0.02377625,0.02980762,0.64845085,0.64959601,-0.18%
3.17891036,0.0231285,0.02906465,0.72936491,0.73095311,-0.22%
3.53212262,0.02322396,0.02843366,0.81024823,0.81236594,-0.26%
3.88533488,0.02418111,0.02795693,0.89110546,0.89384076,-0.31%
4.23854714,0.02606966,0.02767079,0.97194208,0.97538383,-0.35%
4.5917594,0.02890383,0.02760385,1.05276381,1.05700144,-0.40%
4.94497166,0.03263889,0.02777568,1.13357602,1.13869991,-0.45%
5.29818393,0.03717136,0.02819587,1.21438313,1.22048559,-0.50%
5.65139619,0.04234282,0.02886354,1.29518799,1.30236483,-0.55%
6.00460845,0.04794742,0.02976743,1.37599137,1.38434403,-0.60%
6.35782071,0.05374261,0.03088636,1.45679155,1.46642962,-0.66%
6.71103297,0.05946268,0.03219025,1.53758401,1.54862805,-0.71%
7.06424523,0.0648343,0.03364155,1.61836135,1.63094583,-0.77%
7.4174575,0.06959331,0.03519696,1.69911332,1.71338947,-0.83%
7.77066976,0.07350148,0.03680952,1.77982702,1.79596556,-0.90%
8.12388202,0.07636236,0.03843081,1.86048739,1.8786807,-0.97%
8.47709428,0.07803504,0.0400132,1.9410777,1.96154155,-1.04%
8.83030654,0.07844475,0.04151211,2.02158029,2.0445548,-1.12%
9.1835188,0.07758965,0.04288809,2.10197732,2.12772721,-1.21%
9.53673107,0.07554302,0.04410857,2.18225167,2.21106558,-1.30%
9.88994333,0.07245078,0.0451494,2.26238773,2.29457675,-1.40%
10.24315559,0.06852432,0.0459958,2.34237222,2.37826763,-1.51%
10.59636785,0.06402901,0.04664291,2.4221949,2.46214518,-1.62%
10.94958011,0.0592692,0.04709589,2.5018491,2.54621644,-1.74%
11.30279237,0.05457045,0.04736937,2.58133211,2.63048847,-1.87%
11.65600464,0.05026027,0.04748652,2.66064534,2.71496843,-2.00%
12.0092169,0.04664828,0.04747771,2.73979428,2.79966354,-2.14%
12.36242916,0.0440072,0.04737869,2.81878818,2.88458108,-2.28%
12.71564142,0.04255552,0.04722865,2.89763954,2.9697284,-2.43%
13.06885368,0.04244299,0.047068,2.97636336,3.05511295,-2.58%
13.42206595,0.04373973,0.0469362,3.05497629,3.14074223,-2.73%
13.77527821,0.04642963,0.04686959,3.13349556,3.22662383,-2.89%
14.12849047,0.05040853,0.04689945,3.2119379,3.31276542,-3.04%
14.48170273,0.05548751,0.0470503,3.29031845,3.39917477,-3.20%
14.83491499,0.0614014,0.04733866,3.3686497,3.48585973,-3.36%
15.18812725,0.0678222,0.04777213,3.44694057,3.57282823,-3.52%
15.54133952,0.07437715,0.04834908,3.52519565,3.66008832,-3.69%
15.89455178,0.08067047,0.0490588,3.60341467,3.74764812,-3.85%
16.24776404,0.08630783,0.04988215,3.68159231,3.83551588,-4.01%
16.6009763,0.09092213,0.05079275,3.75971818,3.92369994,-4.18%
16.95418856,0.09419878,0.05175853,3.83777725,4.01220874,-4.35%
17.30740082,0.09589888,0.05274364,3.91575045,4.10105086,-4.52%
17.66061309,0.09587835,0.05371058,3.99361562,4.19023496,-4.69%
18.01382535,0.09410119,0.05462249,4.07134867,4.27976984,-4.87%
18.36703761,0.09064577,0.05544535,4.14892485,4.36966443,-5.05%
