Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion
0,0.03751697,0.03751697,0,0,0.00%
0.35321226,0.03722126,0.03742015,0.08147846,0.08148095,0.00%
0.70642452,0.03637958,0.03713499,0.16294828,0.16296808,-0.01%
1.05963679,0.0350701,0.03667707,0.24440136,0.24446761,-0.03%
1.41284905,0.03341672,0.03607157,0.32583058,0.32598573,-0.05%
1.76606131,0.03158063,0.03535204,0.40723022,0.40752864,-0.07%
2.11927357,0.02974937,0.03455884,0.4885963,0.48910255,-0.10%
2.47248583,0.02812399,0.03373718,0.56992674,0.57071369,-0.14%
2.82569809,0.02690521,0.03293501,0.65122144,0.65236829,-0.18%
3.17891036,0.0262793,0.03220074,0.73248217,0.7340726,-0.22%
3.53212262,0.02640475,0.03158096,0.81371234,0.81583288,-0.26%
3.88533488,0.0274004,0.03111822,0.89491666,0.8976554,-0.31%
4.23854714,0.02933579,0.030849,0.97610062,0.97954647,-0.35%
4.5917594,0.03222441,0.03080202,1.05726999,1.06151241,-0.40%
4.94497166,0.03602031,0.03099684,1.13843016,1.14355955,-0.45%
5.29818393,0.04061831,0.03144294,1.21958552,1.22569426,-0.50%
5.65139619,0.04585795,0.03213926,1.30073893,1.30792293,-0.55%
6.00460845,0.05153109,0.03307426,1.38189112,1.390252,-0.60%
6.35782071,0.05739284,0.03422643,1.46304031,1.4726879,-0.66%
6.71103297,0.06317528,0.03556531,1.54418194,1.55523714,-0.71%
7.06424523,0.06860321,0.03705292,1.62530851,1.63790622,-0.77%
7.4174575,0.07341107,0.03864559,1.7064097,1.72070171,-0.83%
7.77066976,0.07735989,0.04029598,1.78747255,1.80363021,-0.90%
8.12388202,0.08025328,0.04195532,1.86848192,1.88669835,-0.97%
8.47709428,0.08195121,0.04357576,1.94942102,1.96991282,-1.04%
8.83030654,0.08238067,0.04511258,2.03027217,2.05328036,-1.12%
9.1835188,0.08154233,0.04652626,2.11101754,2.13680772,-1.21%
9.53673107,0.0795127,0.04778433,2.19164005,2.22050175,-1.30%
9.88994333,0.0764414,0.04886282,2.27212418,2.30436932,-1.40%
