Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion
0,0.03972606,0.03972606,0,0,0.00%
0.35321226,0.03942985,0.03962931,0.08174294,0.08174543,0.00%
0.70642452,0.03858683,0.03934438,0.16347725,0.16349708,-0.01%
1.05963679,0.03727569,0.03888697,0.24519482,0.24526116,-0.03%
1.41284905,0.03562111,0.03828241,0.32688853,0.32704388,-0.05%
1.76606131,0.03378527,0.03756448,0.40855269,0.40885148,-0.07%
2.11927357,0.03195684,0.03677377,0.49018332,0.49069019,-0.10%
2.47248583,0.03033803,0.03595576,0.57177836,0.57256624,-0.14%
2.82569809,0.02913061,0.0351587,0.65333775,0.6544859,-0.18%
3.17891036,0.02852176,0.03443125,0.73486328,0.73645542,-0.22%
3.53212262,0.02867057,0.03382025,0.8163584,0.81848109,-0.26%
3.88533488,0.02969614,0.03336842,0.89782784,0.90056921,-0.30%
4.23854714,0.03166787,0.03311239,0.97927714,0.9827261,-0.35%
4.5917594,0.03459872,0.03308094,1.06071206,1.0649581,-0.40%
4.94497166,0.03844178,0.03329363,1.14213801,1.14727157,-0.45%
5.29818393,0.04309057,0.03375987,1.22355941,1.22967289,-0.50%
5.65139619,0.04838305,0.03447845,1.30497907,1.31216848,-0.55%
6.00460845,0.05410933,0.03543761,1.38639771,1.39476479,-0.60%
6.35782071,0.06002273,0.03661559,1.46781351,1.47746828,-0.65%
6.71103297,0.06585364,0.03798164,1.54922186,1.56028547,-0.71%
7.06424523,0.07132542,0.03949747,1.63061521,1.6432229,-0.77%
7.4174575,0.07617144,0.04111909,1.71198318,1.72628715,-0.83%
7.77066976,0.0801522,0.04279887,1.79331275,1.80948483,-0.89%
8.12388202,0.08307135,0.04448782,1.87458871,1.89282262,-0.96%
8.47709428,0.08478955,0.04613788,1.95579426,1.9763072,-1.04%
8.83030654,0.08523515,0.04770422,2.03691169,2.05994535,-1.12%
9.1835188,0.08441078,0.0491473,2.11792318,2.14374385,-1.20%
9.53673107,0.0823954,0.05043472,2.19881168,2.22770955,-1.30%
9.88994333,0.0793415,0.05154263,2.27956172,2.31184935,-1.40%
10.24315559,0.0754675,0.05245682,2.36016026,2.39617022,-1.50%
10.59636785,0.07104586,0.05317316,2.44059733,2.48067917,-1.62%
10.94958011,0.06638759,0.05369764,2.52086663,2.56538328,-1.74%
11.30279237,0.06182405,0.05404586,2.60096587,2.65028968,-1.86%
11.65600464,0.05768724,0.05424202,2.68089692,2.73540557,-1.99%
12.0092169,0.05428965,0.05431748,2.76066576,2.82073822,-2.13%
12.36242916,0.05190493,0.05430894,2.84028212,2.90629499,-2.27%
12.71564142,0.05075045,0.05425642,2.91975895,2.99208326,-2.42%
13.06885368,0.05097274,0.05420103,2.99911168,3.07811055,-2.57%
13.42206595,0.05263663,0.05418271,3.0783573,3.16438441,-2.72%
13.77527821,0.05571888,0.05423807,3.1575133,3.25091249,-2.87%
14.12849047,0.06010671,0.05439842,3.23659659,3.33770252,-3.03%
14.48170273,0.06560148,0.05468807,3.31562235,3.42476233,-3.19%
14.83491499,0.07192775,0.05512308,3.39460301,3.51209981,-3.35%
15.18812725,0.07874739,0.05571041,3.4735473,3.59972298,-3.51%
15.54133952,0.08567823,0.05644762,3.55245953,3.68763992,-3.67%
15.89455178,0.09231655,0.05732306,3.6313391,3.77585884,-3.83%
16.24776404,0.09826222,0.05831661,3.71018023,3.86438803,-3.99%
16.6009763,0.103145,0.05940091,3.78897211,3.9532359,-4.16%
16.95418856,0.10665026,0.06054295,3.86769924,4.04241096,-4.32%
17.30740082,0.10854241,0.06170611,3.94634216,4.13192184,-4.49%
17.66061309,0.10868393,0.06285229,4.02487839,4.22177728,-4.66%
18.01382535,0.10704846,0.06394425,4.10328358,4.31198614,-4.84%
18.36703761,0.10372649,0.06494786,4.1815329,4.40255742,-5.02%
18.72024987,0.09892274,0.06583417,4.25960237,4.49350022,-5.21%
19.07346213,0.0929452,0.06658117,4.33747021,4.58482379,-5.40%
19.42667439,0.08618602,0.06717517,4.41511815,4.67653752,-5.59%
19.77988666,0.07909567,0.06761155,4.49253239,4.76865093,-5.79%
20.13309892,0.07215185,0.06789503,4.56970436,4.86117367,-6.00%
20.48631118,0.06582547,0.06803924,4.64663109,4.95411557,-6.21%
20.83952344,0.06054607,0.0680657,4.72331518,5.0474866,-6.42%
21.1927357,0.05666899,0.0680023,4.79976433,5.14129688,-6.64%
21.54594796,0.05444694,0.06788122,4.87599051,5.23555669,-6.87%
21.89916023,0.0540079,0.06773656,4.95200871,5.3302765,-7.10%
22.25237249,0.05534118,0.06760185,5.02783547,5.42546693,-7.33%
22.60558475,0.05829314,0.06750743,5.10348713,5.52113878,-7.56%
22.95879701,0.06257332,0.06747814,5.17897812,5.61730305,-7.80%
23.31200927,0.0677713,0.06753125,5.25431928,5.71397092,-8.04%
23.66522154,0.0733839,0.06767498,5.32951639,5.81115376,-8.29%
24.0184338,0.07885146,0.06790762,5.40456902,5.90886313,-8.53%
24.37164606,0.0836012,0.06821743,5.47946993,6.00711082,-8.78%
24.72485832,0.08709482,0.06858321,5.55420493,6.10590882,-9.04%
25.07807058,0.08887646,0.06897576,5.6287534,6.20526934,-9.29%
25.43128284,0.08861721,0.06935995,5.70308934,6.30520481,-9.55%
25.78449511,0.08615146,0.06969733,5.77718308,6.40572791,-9.81%
26.13770737,0.08150122,0.06994919,5.85100338,6.50685153,-10.08%
26.49091963,0.07488513,0.07007975,5.92451982,6.60858883,-10.35%
26.84413189,0.06670986,0.07005921,5.99770543,6.71095322,-10.63%
27.19734415,0.05754359,0.06986648,6.07053911,6.81395837,-10.91%
27.55055641,0.04807257,0.0694913,6.14300777,6.91761822,-11.20%
27.90376868,0.03904369,0.06893546,6.2151079,7.02194698,-11.49%
28.25698094,0.03119722,0.06821295,6.28684629,7.12695916,-11.79%
28.6101932,0.02519515,0.06734911,6.35823985,7.23266955,-12.09%
28.96340546,0.02155122,0.06637843,6.42931432,7.33909326,-12.40%
29.31661772,0.02056928,0.0653414,6.50010188,7.4462457,-12.71%
29.66982998,0.02229646,0.06428053,6.57063781,7.55414262,-13.02%
30.02304225,0.02649778,0.06323573,6.64095643,7.66280008,-13.34%
30.37625451,0.03265776,0.06223971,6.71108652,7.77223451,-13.65%
30.72946677,0.04001368,0.06131366,6.78104699,7.88246267,-13.97%
31.08267903,0.04762231,0.06046384,6.85084297,7.99350171,-14.29%
31.43589129,0.05445871,0.05967965,6.92046323,8.10536913,-14.62%
31.78910355,0.05954039,0.05893341,6.98987923,8.21808285,-14.95%
32.14231582,0.06206477,0.05818226,7.05904638,8.33166116,-15.27%
32.49552808,0.06154194,0.05737221,7.12790763,8.44612278,-15.61%
32.84874034,0.05790198,0.05644412,7.19639946,8.56148688,-15.94%
33.2019526,0.05155386,0.0553411,7.26445982,8.67777302,-16.29%
33.55516486,0.0433784,0.05401651,7.33203725,8.79500126,-16.63%
33.90837712,0.03464504,0.05244144,7.39910006,8.91319211,-16.99%
